ano,topic_code,pais,codigo_pais
2024,,Bolivia,BO
2023,12244159.0,Bolivia,BO
2022,12077154.0,Bolivia,BO
2021,11937360.0,Bolivia,BO
2020,11816299.0,Bolivia,BO
2019,11671386.0,Bolivia,BO
2018,11508368.0,Bolivia,BO
2017,11344587.0,Bolivia,BO
2016,11180020.0,Bolivia,BO
2015,11014705.0,Bolivia,BO
2014,10848888.0,Bolivia,BO
2013,10682608.0,Bolivia,BO
2012,10515807.0,Bolivia,BO
2011,10348929.0,Bolivia,BO
2010,10182345.0,Bolivia,BO
2009,10016275.0,Bolivia,BO
2008,9850858.0,Bolivia,BO
2007,9685960.0,Bolivia,BO
2006,9521689.0,Bolivia,BO
2005,9360754.0,Bolivia,BO
2004,9204287.0,Bolivia,BO
2003,9050700.0,Bolivia,BO
2002,8900355.0,Bolivia,BO
2001,8752736.0,Bolivia,BO
2000,8606326.0,Bolivia,BO
