ano,topic_code,pais,codigo_pais
2024,,Barbados,BB
2023,4.09382010970572,Barbados,BB
2022,17.8328630251327,Barbados,BB
2021,-0.254965880216531,Barbados,BB
2020,-15.0543629495892,Barbados,BB
2019,0.652585417698418,Barbados,BB
2018,-1.17406509373819,Barbados,BB
2017,0.12844600157031,Barbados,BB
2016,1.79193033431267,Barbados,BB
2015,-0.846098521356325,Barbados,BB
2014,0.0824054778140209,Barbados,BB
2013,-1.01038184618172,Barbados,BB
2012,-0.313311151079603,Barbados,BB
2011,-0.731434558650108,Barbados,BB
2010,-2.21771043677785,Barbados,BB
2009,-5.01727595949647,Barbados,BB
2008,0.633461059310008,Barbados,BB
2007,2.0791838891773,Barbados,BB
2006,6.07054563713541,Barbados,BB
2005,3.95545760352553,Barbados,BB
2004,1.41159863545504,Barbados,BB
2003,2.17548076923076,Barbados,BB
2002,0.787401574803141,Barbados,BB
2001,-2.36546422235413,Barbados,BB
2000,4.44718962322472,Barbados,BB
