ano,valor,pais,codigo_pais,indicador,categoria
2024,,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2023,2.21112447211205,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2022,4.22681101095546,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2021,7.38996234012757,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2020,-3.01509514759861,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2019,2.88734334414875,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2018,3.82749920546897,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2017,3.24410095889466,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2016,3.24225521171914,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2015,4.31475061116335,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2014,1.15385109200403,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2013,2.3498566632458,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2012,-0.821836474216894,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2011,0.959511247241267,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2010,0.865669260237084,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2009,-3.00445593013346,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2008,5.44383103450177,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2007,5.85712634217094,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2006,5.41400357079434,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2005,3.89717798992193,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2004,6.32526616861466,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2003,3.8671387951343,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2002,5.02744420733983,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2001,2.42331317180992,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
2000,5.41431594987489,Bosnia and Herzegovina,BA,NY.GDP.MKTP.KD.ZG,Economy & Growth
