ano,valor,pais,codigo_pais,indicador,categoria
2024,,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2023,1.14901682065862,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2022,9.65297772389758,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2021,17.7461701205679,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2020,-13.9029100645218,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2019,4.26763689618086,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2018,1.11057125008675,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2017,-1.81285354051658,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2016,0.0545516535970023,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2015,2.87618379515959,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2014,4.03084557750317,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2013,4.45432600686063,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2012,3.73777578617181,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2011,-0.244543781225346,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2010,1.11403578740261,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2009,-0.389321468298107,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2008,-1.68211644620352,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2007,3.35324829108133,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2006,4.5114473758227,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2005,2.21953884192973,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2004,4.78084048802529,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2003,9.66665565429979,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2002,5.39712385528743,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2001,4.99396775490806,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2000,12.2404595814526,Belize,BZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
