ano,valor,pais,codigo_pais,indicador,categoria
2024,,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2023,4.10000000000004,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2022,3.59999999999998,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2021,3.79999999999995,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2020,-4.99999999999997,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2019,0.899999999999949,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2018,1.40000000000002,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2017,1.50000000000003,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2016,3.89999999999995,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2015,3.20000000000009,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2014,4.09999999999997,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2013,2.60000000000001,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2012,2.40000000000005,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2011,2.99999999999984,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2010,4.80000000000005,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2009,1.19999999999996,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2008,2.5000000000001,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2007,3.09999999999988,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2006,2.90000000000011,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2005,5.39999999999989,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2004,4.50000000000001,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2003,6.5,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2002,5.40000000000001,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2001,2.99999999909851,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
2000,3.80000000133003,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Economy & Growth
