ano,valor,pais,codigo_pais,indicador,categoria
2024,,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2023,17067.8136150601,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2022,15451.1319576678,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2021,16216.5706467899,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2020,13114.815470545,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2019,14495.716721687,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2018,15659.4808675628,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2017,14879.9086230423,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2016,13649.8520455553,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2015,13433.9202985339,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2014,14529.6767210362,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2013,15683.54863663,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2012,15241.9069977366,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2011,14487.3927827263,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2010,12632.8704725219,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2009,10098.8017166866,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2008,10683.2188772853,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2007,10346.4138184533,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2006,9318.65655299547,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2005,7480.3233099645,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2004,6120.59152052304,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2003,4773.40177520754,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2002,4430.84741157069,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2001,4563.5952986689,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
2000,5052.99245768719,Chile,CL,NY.GDP.PCAP.CD,Economy & Growth
