ano,valor,pais,codigo_pais,indicador,categoria
2024,,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2023,8575.17113446213,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2022,6846.42614266044,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2021,6413.28328605026,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2020,5370.77862312929,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2019,5460.42823730592,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2018,5365.48934672897,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2017,4531.03220675893,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2016,4124.05538986272,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2015,3952.80357364813,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2014,4578.63320812155,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2013,4413.06338346821,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2012,4247.63134315945,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2011,4437.14116097061,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2010,4094.34968570481,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2009,4114.13403283023,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2008,4370.53971639449,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2007,3595.03829536404,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2006,2972.74362094736,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2005,2673.78781583529,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2004,2373.58129170055,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2003,1846.12012081207,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2002,1425.12421860142,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2001,1281.6598256178,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
2000,1126.68334010717,Albania,AL,NY.GDP.PCAP.CD,Economy & Growth
