ano,valor,pais,codigo_pais,indicador,categoria
2024,,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2023,100.0,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2022,100.0,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2021,100.0,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2020,100.0,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2019,100.0,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2018,100.0,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2017,100.0,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2016,100.0,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2015,100.0,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2014,100.0,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2013,100.0,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2012,100.0,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2011,99.8,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2010,99.9,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2009,99.8,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2008,100.0,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2007,99.5,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2006,99.5,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2005,99.2,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2004,99.1,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2003,99.1,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2002,99.0,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2001,99.0,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
2000,98.9,Lebanon,LB,EG.ELC.ACCS.UR.ZS,"Energy & Mining , Urban Development "
