ano,valor,pais,codigo_pais,indicador,categoria
2023,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2022,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2021,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2020,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2019,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2018,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2017,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2016,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2015,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2014,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2013,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2012,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2011,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2010,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2009,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2008,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2007,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2006,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2005,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2004,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2003,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2002,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2001,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
2000,,Nauru,NR,NY.GNS.ICTR.ZS,Economy & Growth
