ano,valor,pais,codigo_pais,indicador,categoria
2024,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2023,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2022,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2021,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2020,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2019,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2018,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2017,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2016,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2015,88511.0,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2014,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2013,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2012,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2011,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2010,70909.0,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2009,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2008,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2007,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2006,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2005,54379.0,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2004,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2003,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2002,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2001,,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
2000,53034.0,Morocco,MA,SM.POP.TOTL,"Financial Sector , Health "
