ano,topic_code,pais,codigo_pais
2024,,Bhutan,BT
2023,,Bhutan,BT
2022,3711.32767902157,Bhutan,BT
2021,3570.61257915864,Bhutan,BT
2020,3191.66907031782,Bhutan,BT
2019,3576.87987077877,Bhutan,BT
2018,3400.20417159422,Bhutan,BT
2017,3435.28804814561,Bhutan,BT
2016,3152.30905081592,Bhutan,BT
2015,2954.04081973327,Bhutan,BT
2014,2849.49998659935,Bhutan,BT
2013,2679.95217216983,Bhutan,BT
2012,2751.21288653263,Bhutan,BT
2011,2787.97967689425,Bhutan,BT
2010,2435.57980661188,Bhutan,BT
2009,1918.39599211093,Bhutan,BT
2008,1919.59774896395,Bhutan,BT
2007,1850.41570433398,Bhutan,BT
2006,1405.6071618158,Bhutan,BT
2005,1299.94938578359,Bhutan,BT
2004,1130.35934606796,Bhutan,BT
2003,1022.38240311018,Bhutan,BT
2002,895.799489930972,Bhutan,BT
2001,812.238210772056,Bhutan,BT
2000,771.924911410619,Bhutan,BT
